"","COUNTRY","FLOW","PRODUCT","1971","2000"
"345","Ghana","Stock changes","Other bituminous coal","..","0.000000000"
"346","Ghana","Stock changes","Sub-bituminous coal","..","0.000000000"
"347","Ghana","Stock changes","Lignite","..","0.000000000"
"348","Ghana","Stock changes","Patent fuel","0.000000000","0.000000000"
"349","Ghana","Stock changes","Coke oven coke","0.000000000","0.000000000"
"350","Ghana","Stock changes","Gas coke","0.000000000","0.000000000"
"351","Ghana","Stock changes","Coal tar","0.000000000","0.000000000"
"352","Ghana","Stock changes","BKB","0.000000000","0.000000000"
"353","Ghana","Stock changes","Gas works gas","0.000000000","0.000000000"
"354","Ghana","Stock changes","Coke oven gas","0.000000000","0.000000000"
"355","Ghana","Stock changes","Blast furnace gas","0.000000000","0.000000000"
"356","Ghana","Stock changes","Other recovered gases","0.000000000","0.000000000"
"357","Ghana","Stock changes","Peat","0.000000000","0.000000000"
"358","Ghana","Stock changes","Peat products","0.000000000","0.000000000"
"359","Ghana","Stock changes","Oil shale and oil sands","0.000000000","0.000000000"
"360","Ghana","Stock changes","Natural gas","0.000000000","0.000000000"
"361","Ghana","Stock changes","Crude/NGL/feedstocks (if no detail)","x","x"
"362","Ghana","Stock changes","Crude oil","-852.440900000","0.000000000"
"363","Ghana","Stock changes","Natural gas liquids","0.000000000","0.000000000"
"364","Ghana","Stock changes","Refinery feedstocks","0.000000000","0.000000000"
"365","Ghana","Stock changes","Additives/blending components","0.000000000","0.000000000"
"366","Ghana","Stock changes","Other hydrocarbons","0.000000000","0.000000000"
"367","Ghana","Stock changes","Refinery gas","0.000000000","0.000000000"
"368","Ghana","Stock changes","Ethane","0.000000000","0.000000000"
"369","Ghana","Stock changes","Liquefied petroleum gases (LPG)","0.000000000","0.000000000"
"370","Ghana","Stock changes","Motor gasoline excl. biofuels","0.000000000","0.000000000"
"371","Ghana","Stock changes","Aviation gasoline","0.000000000","0.000000000"
"372","Ghana","Stock changes","Gasoline type jet fuel","0.000000000","0.000000000"
"373","Ghana","Stock changes","Kerosene type jet fuel excl. biofuels","0.000000000","0.000000000"
"374","Ghana","Stock changes","Other kerosene","0.000000000","0.000000000"
"375","Ghana","Stock changes","Gas/diesel oil excl. biofuels","476.298700000","0.000000000"
"376","Ghana","Stock changes","Fuel oil","-321.600700000","0.000000000"
"377","Ghana","Stock changes","Naphtha","0.000000000","0.000000000"
"378","Ghana","Stock changes","White spirit & SBP","0.000000000","0.000000000"
"379","Ghana","Stock changes","Lubricants","0.000000000","0.000000000"
"380","Ghana","Stock changes","Bitumen","0.000000000","0.000000000"
"381","Ghana","Stock changes","Paraffin waxes","0.000000000","0.000000000"
"382","Ghana","Stock changes","Petroleum coke","0.000000000","0.000000000"
"383","Ghana","Stock changes","Other oil products","0.000000000","0.000000000"
"384","Ghana","Stock changes","Industrial waste","0.000000000","0.000000000"
"385","Ghana","Stock changes","Municipal waste (renewable)","0.000000000","0.000000000"
"386","Ghana","Stock changes","Municipal waste (non-renewable)","0.000000000","0.000000000"
"387","Ghana","Stock changes","Primary solid biofuels","0.000000000","0.000000000"
"388","Ghana","Stock changes","Biogases","0.000000000","0.000000000"
"389","Ghana","Stock changes","Biogasoline","0.000000000","0.000000000"
"390","Ghana","Stock changes","Biodiesels","0.000000000","0.000000000"
"391","Ghana","Stock changes","Bio jet kerosene","0.000000000","0.000000000"
"392","Ghana","Stock changes","Other liquid biofuels","0.000000000","0.000000000"
"393","Ghana","Stock changes","Non-specified primary biofuels and waste","0.000000000","0.000000000"
"394","Ghana","Stock changes","Charcoal","0.000000000","0.000000000"
"395","Ghana","Stock changes","Elec/heat output from non-specified manufactured gases","0.000000000","0.000000000"
